"","Date","Size","Price","Local_Amount","Currency"
"171","2018-12-15T22:19:57+00:00","8.5",410,410,"USD"
"172","2018-12-15T22:17:00+00:00","4",390,390,"USD"
"173","2018-12-15T22:09:06+00:00","6.5",470,470,"USD"
"174","2018-12-15T22:02:21+00:00","4.5",460,460,"USD"
"175","2018-12-15T21:53:54+00:00","6.5",465,465,"USD"
"176","2018-12-15T21:33:49+00:00","4.5",460,460,"USD"
"177","2018-12-15T21:28:20+00:00","9",390,390,"USD"
"178","2018-12-15T21:16:23+00:00","9.5",380,380,"USD"
"179","2018-12-15T21:01:40+00:00","13",370,370,"USD"
"180","2018-12-15T20:33:52+00:00","6",448,448,"USD"
"181","2018-12-15T20:19:24+00:00","11",380,380,"USD"
"182","2018-12-15T20:14:54+00:00","10.5",385,385,"USD"
"183","2018-12-15T20:12:01+00:00","11",379,379,"USD"
"184","2018-12-15T20:08:37+00:00","11",379,379,"USD"
"185","2018-12-15T19:47:59+00:00","10.5",375,375,"USD"
"186","2018-12-15T19:38:28+00:00","10",377.7362,378,"USD"
"187","2018-12-15T19:34:58+00:00","9.5",390,390,"USD"
"188","2018-12-15T19:07:31+00:00","12",375,375,"USD"
"189","2018-12-15T19:00:59+00:00","7",430,430,"USD"
"190","2018-12-15T18:59:30+00:00","8",410,410,"USD"
"191","2018-12-15T18:58:15+00:00","9.5",390,390,"USD"
"192","2018-12-15T18:55:16+00:00","9",390,390,"USD"
"193","2018-12-15T18:55:14+00:00","9.5",389,389,"USD"
"194","2018-12-15T18:45:30+00:00","11",378,378,"USD"
"195","2018-12-15T18:34:48+00:00","11",360,360,"USD"
"196","2018-12-15T18:33:49+00:00","11",378,378,"USD"
"197","2018-12-15T18:27:40+00:00","4",390,390,"USD"
"198","2018-12-15T18:27:39+00:00","8",410,410,"USD"
"199","2018-12-15T18:22:06+00:00","12.5",341,341,"USD"
"200","2018-12-15T18:09:43+00:00","9",390,390,"USD"
"201","2018-12-15T18:08:34+00:00","7",400,400,"USD"
"202","2018-12-15T18:07:27+00:00","12",374,374,"USD"
"203","2018-12-15T17:54:16+00:00","10.5",385,385,"USD"
"204","2018-12-15T17:53:49+00:00","13",370,370,"USD"
"205","2018-12-15T17:51:10+00:00","10",377,377,"USD"
"206","2018-12-15T17:50:29+00:00","11",378,378,"USD"
"207","2018-12-15T17:42:29+00:00","6",446,446,"USD"
"208","2018-12-15T17:40:19+00:00","12.5",340,340,"USD"
"209","2018-12-15T17:29:12+00:00","11",375,375,"USD"
"210","2018-12-15T17:28:24+00:00","10",365,365,"USD"
