"","Date","Size","Price","Local_Amount","Currency"
"331","2018-12-14T21:20:00+00:00","5",295,295,"USD"
"332","2018-12-14T21:10:53+00:00","13",285,285,"USD"
"333","2018-12-14T21:02:51+00:00","7.5",269,269,"USD"
"334","2018-12-14T20:54:47+00:00","10",270.1633,271,"USD"
"335","2018-12-14T20:54:23+00:00","11",290,290,"USD"
"336","2018-12-14T20:52:15+00:00","9.5",272,272,"USD"
"337","2018-12-14T20:52:13+00:00","7",282,282,"USD"
"338","2018-12-14T20:51:35+00:00","10.5",272,272,"USD"
"339","2018-12-14T20:49:23+00:00","6",300,300,"USD"
"340","2018-12-14T20:45:30+00:00","12",289,289,"USD"
"341","2018-12-14T20:44:13+00:00","10.5",275,275,"USD"
"342","2018-12-14T20:41:58+00:00","7.5",269.033,270,"USD"
"343","2018-12-14T20:36:07+00:00","8.5",275,275,"USD"
"344","2018-12-14T20:33:24+00:00","10.5",265,265,"USD"
"345","2018-12-14T20:29:29+00:00","8.5",275,275,"USD"
"346","2018-12-14T20:24:11+00:00","12",289,289,"USD"
"347","2018-12-14T20:22:12+00:00","7",287,287,"USD"
"348","2018-12-14T20:06:28+00:00","9.5",278,278,"USD"
"349","2018-12-14T20:00:12+00:00","11",290,290,"USD"
"350","2018-12-14T19:59:46+00:00","7.5",255,255,"USD"
"351","2018-12-14T19:55:18+00:00","11.5",294,294,"USD"
"352","2018-12-14T19:54:42+00:00","12",280,280,"USD"
"353","2018-12-14T19:54:04+00:00","6",299,299,"USD"
"354","2018-12-14T19:47:14+00:00","7.5",270.1633,271,"USD"
"355","2018-12-14T19:46:51+00:00","9",279,279,"USD"
"356","2018-12-14T19:45:29+00:00","7",289,289,"USD"
"357","2018-12-14T19:29:52+00:00","6",299,299,"USD"
"358","2018-12-14T19:29:24+00:00","6",300,300,"USD"
"359","2018-12-14T19:26:26+00:00","8.5",275,275,"USD"
"360","2018-12-14T19:23:55+00:00","7.5",270,270,"USD"
"361","2018-12-14T19:22:46+00:00","10",278,278,"USD"
"362","2018-12-14T19:17:26+00:00","7",289,289,"USD"
"363","2018-12-14T19:15:31+00:00","10.5",275,275,"USD"
"364","2018-12-14T19:15:31+00:00","9.5",278,278,"USD"
"365","2018-12-14T19:15:19+00:00","7",284,284,"USD"
"366","2018-12-14T19:12:23+00:00","10",275,275,"USD"
"367","2018-12-14T19:11:40+00:00","13",285,285,"USD"
"368","2018-12-14T19:02:02+00:00","6",300,300,"USD"
"369","2018-12-14T18:59:52+00:00","7",285,285,"USD"
"370","2018-12-14T18:54:50+00:00","10",255,255,"USD"
"371","2018-12-14T18:49:15+00:00","13",285,285,"USD"
"372","2018-12-14T18:40:16+00:00","6",299,299,"USD"
"373","2018-12-14T18:12:59+00:00","9",278,278,"USD"
"374","2018-12-14T18:11:40+00:00","12",280,280,"USD"
"375","2018-12-14T18:06:11+00:00","12",279,279,"USD"
"376","2018-12-14T18:05:27+00:00","7.5",270,270,"USD"
"377","2018-12-14T18:01:53+00:00","10.5",273,273,"USD"
"378","2018-12-14T17:59:03+00:00","6.5",315,315,"USD"
"379","2018-12-14T17:58:24+00:00","7",285,285,"USD"
"380","2018-12-14T17:55:28+00:00","13",284,284,"USD"
"381","2018-12-14T17:51:16+00:00","10",275,275,"USD"
"382","2018-12-14T17:49:16+00:00","10.5",270,270,"USD"
"383","2018-12-14T17:49:04+00:00","11",291,291,"USD"
"384","2018-12-14T17:41:34+00:00","8.5",275,275,"USD"
"385","2018-12-14T17:40:35+00:00","6",300,300,"USD"
"386","2018-12-14T17:39:56+00:00","9",278,278,"USD"
"387","2018-12-14T17:25:50+00:00","5",295,295,"USD"
"388","2018-12-14T17:24:21+00:00","8",255,255,"USD"
"389","2018-12-14T17:19:42+00:00","12",279,279,"USD"
"390","2018-12-14T17:15:35+00:00","5",290,290,"USD"
"391","2018-12-14T17:10:07+00:00","9",246,246,"USD"
"392","2018-12-14T17:02:40+00:00","6",300,300,"USD"
"393","2018-12-14T16:55:14+00:00","9",247,247,"USD"
"394","2018-12-14T16:54:17+00:00","10.5",251,251,"USD"
"395","2018-12-14T16:47:09+00:00","11",290,290,"USD"
"396","2018-12-14T16:46:26+00:00","10",272,272,"USD"
"397","2018-12-14T16:43:48+00:00","8.5",275,275,"USD"
"398","2018-12-14T16:35:55+00:00","9",275,275,"USD"
"399","2018-12-14T16:33:00+00:00","9",250,250,"USD"
"400","2018-12-14T16:26:51+00:00","9",270,270,"USD"
"401","2018-12-14T16:24:35+00:00","4.5",315,315,"USD"
"402","2018-12-14T16:18:01+00:00","10",270,270,"USD"
"403","2018-12-14T16:16:48+00:00","6",275,275,"USD"
"404","2018-12-14T16:13:55+00:00","7.5",270,270,"USD"
"405","2018-12-14T16:11:56+00:00","10",270,270,"USD"
"406","2018-12-14T16:11:55+00:00","9.5",281,281,"USD"
"407","2018-12-14T16:10:30+00:00","10",270,270,"USD"
"408","2018-12-14T16:09:02+00:00","10",270,270,"USD"
"409","2018-12-14T16:06:23+00:00","5",290,290,"USD"
"410","2018-12-14T16:02:21+00:00","7.5",270,270,"USD"
"411","2018-12-14T15:59:31+00:00","4",298,298,"USD"
"412","2018-12-14T15:59:27+00:00","7.5",270,270,"USD"
"413","2018-12-14T15:58:08+00:00","6",299,299,"USD"
"414","2018-12-14T15:58:07+00:00","8.5",274,274,"USD"
"415","2018-12-14T15:57:14+00:00","7",285,285,"USD"
"416","2018-12-14T15:55:26+00:00","10.5",270,270,"USD"
"417","2018-12-14T15:53:09+00:00","11",290,290,"USD"
"418","2018-12-14T15:37:10+00:00","10",270,270,"USD"
"419","2018-12-14T15:36:35+00:00","10",270,270,"USD"
"420","2018-12-14T15:35:15+00:00","8",271,271,"USD"
"421","2018-12-14T15:33:38+00:00","9.5",281,281,"USD"
"422","2018-12-14T15:28:06+00:00","4",297,297,"USD"
"423","2018-12-14T15:22:27+00:00","5.5",327,327,"USD"
"424","2018-12-14T15:21:11+00:00","10",270,270,"USD"
"425","2018-12-14T15:20:31+00:00","13",260,260,"USD"
"426","2018-12-14T15:14:13+00:00","6",298,298,"USD"
"427","2018-12-14T14:57:50+00:00","10",270.8513,271,"USD"
"428","2018-12-14T14:56:09+00:00","8",275,275,"USD"
"429","2018-12-14T14:53:15+00:00","6",297,297,"USD"
"430","2018-12-14T14:49:41+00:00","4",293,293,"USD"
"431","2018-12-14T14:48:49+00:00","7",283,283,"USD"
"432","2018-12-14T14:46:41+00:00","7",283,283,"USD"
"433","2018-12-14T14:16:12+00:00","11",290,290,"USD"
"434","2018-12-14T14:10:06+00:00","7.5",269,269,"USD"
"435","2018-12-14T14:07:05+00:00","11",280,280,"USD"
"436","2018-12-14T14:04:58+00:00","6.5",314,314,"USD"
